McGee's Tavern & Grille, 950 W. Webster Ave, Chicago, IL 60614 ,41.9218596,-87.6530754
Duffy's Tavern & Grille, 954 W. Webster Ave, Chicago, IL 60614 ,41.921996,-87.653153
Logan Bar & Grill, 2230 N. California Ave, Chicago, IL 60647 ,41.9226,-87.6974749
Kendall's Food & Spirits, 2263 N. Lincoln, Chicago, IL 60614 ,41.9231241,-87.6364601
Halligan Bar, 2274 N. Lincoln Ave, Chicago, IL 60614 ,41.9234304,-87.6461435
Kelsey's, 2265 N. Lincoln Ave, Chicago, IL 60614 ,41.923434,-87.645534
John Barleycorn, 658 W. Belden Ave, Chicago, IL 60614 ,41.9237631,-87.6461722
Small Bar, 1415 W. Fullerton Ave, Chicago, IL 60614 ,41.924937,-87.663932
Gaslight Bar & Grille, 2426 N. Racine, Chicago, IL 60614 ,41.9261457,-87.6586028
The Otherside Bar, 2436 N Clark St, Chicago, IL 60614 ,41.9268344,-87.6412371
Buffalo Wild Wings, 2464 N. Lincoln Ave, Chicago, IL 60614 ,41.9268867,-87.6508957
The Tin Lizzie, 2483 North Clark Street, Chicago, IL 60614 ,41.9277516,-87.6417412
Irish Eyes Pub, 2519 N. Lincoln Ave, Chicago, IL 60614 ,41.9278251,-87.6520138
Crossing, 2548 N. Southport Ave, Chicago, IL 60614 ,41.9284193,-87.6635391
Wrightwood Tap Chicago, 1059 West Wrightwood Avenue, Chicago, IL 60614 ,41.9289152,-87.6560049
Burwood Tap, 724 W. Wrightwood Ave, Chicago, IL 60614 ,41.9291723,-87.6475467
Racine Plumbing Bar & Grill, 2642 North Lincoln Avenue, Chicago, IL 60614 ,41.9299859,-87.6552804
Crossroads Public House, 2630 N. Clark St, Chicago, IL 60614 ,41.9303351,-87.6438836
Four Shadows, 2758 N Ashland Ave # 1, Chicago, IL 60614 ,41.932303,-87.6686182
Trinity Chicago, 2721 North Halsted Street, Chicago, IL 60614 ,41.9323055,-87.648891
Durkin's, 810 W. Diversey Pkwy, Chicago, IL 60614 ,41.9328034,-87.6494509
Yak-zies, 506 W. Diversey Pkwy, Chicago, IL 60614 ,41.9328692,-87.6417129
Witts, 2913 North Lincoln Avenue, Chicago, IL 60657 ,41.9348104,-87.6616814
Kirkwood Bar & Grill, 2934 North Sheffield Avenue, Chicago, IL 60657 ,41.9355271,-87.6541212
Small Bar, 2956 N. Albany Ave, Chicago, IL 60618 ,41.935535,-87.70543
Fox and Hound, 370 W. Army Trail Rd, Bloomingdale, IL 60108 ,41.937818,-88.111887
Anyway's Grill & Pub, 304 W. Army Trail Rd, Bloomingdale, IL 60108 ,41.938561,-88.10274
Shark City, 2240 Bloomingdale Road, Glendale Heights, IL 60139 ,41.9395712,-88.0803393
Brendan's Pub, 3169 N Broadway St, Chicago, IL 60657 ,41.9397401,-87.6442688
Pizzeria Serio, 1708 W. Belmont Ave, Chicago, IL 60657 ,41.9397595,-87.6715333
The Pony Inn, 1638 West Belmont Avenue, Chicago, IL 60657 ,41.9397825,-87.6702384
Beckett's Public House, 3210 N. Lincoln Avenue, Chicago, IL 60657 ,41.940011,-87.66916
Trader Todd's, 3216 N. Sheffield Ave, Chicago, IL 60657 ,41.940455,-87.654471
Schoolyard Tavern & Grill, 3258 North Southport Avenue, Chicago, IL 60657 ,41.9414731,-87.6640397
Sheffield's Beer & Wine Garden, 3258 N. Sheffield Avenue, Chicago, IL 60613 ,41.941591,-87.654215
Roadhouse 66 Sports Bar, 3330 N. Clark St, Chicago, IL 60657 ,41.9424971,-87.6528765
Justins, 3358 North Southport Avenue, Chicago, IL 60657 ,41.9432206,-87.6640876
The Village Tap, 2055 W. Roscoe St, Chicago, IL 60618 ,41.9433004,-87.6803869
Redmond's Chicago, 3358 N Sheffield Ave, Chicago, IL 60657 ,41.943352,-87.654703
Houndstooth Saloon, 3369 N Clark St, Chicago, IL 60657 ,41.9433877,-87.6529596
Waterhouse Tavern & Grill Chicago, 3407 North Paulina Street, Chicago, IL 60657 ,41.9435698,-87.6710808
Finley Dunnes Tavern, 3458 North Lincoln Avenue, Chicago, IL 60657 ,41.9448239,-87.6724018
Dark Horse Tap & Grille, 3443 North Sheffield Avenue, Chicago, IL 60657 ,41.944866,-87.6541773
Rebel Bar and Grill, 3462 North Clark Street, Chicago, IL 60686 ,41.94509,-87.6549776
Rockwood Place, 3466 North Clark Street, Chicago, IL 60657 ,41.945154,-87.655281
Uberstein, 3478 N. Clark St, Chicago, IL 60657 ,41.9454373,-87.6552656
The Stretch Bar & Grill, 3485 N. Clark Street, Chicago, IL 60657 ,41.9456827,-87.6551938
Merkle's Bar & Grill, 3516 North Clark Street, Chicago, IL 60657 ,41.9460062,-87.6557011
Moe's Cantina Chicago, 3518 N Clark St, Chicago, IL 60613 ,41.9461129,-87.6558091
Red Ivy Chicgo, 3525 North Clark Street, Chicago, IL 60657 ,41.9461431,-87.6555669
John Barleycorn, 3524 North Clark Street, Chicago, IL 60657 ,41.946233,-87.655873
Mullen's, 3527 N Clark St, Chicago, IL 60657 ,41.946338,-87.6557256
Sluggers World Class Bar, 3540 N. Clark St, Chicago, IL 60657 ,41.9465412,-87.6561327
Messner's Wrigleyville, 3553 N Southport Ave, Chicago, IL 60657 ,41.946778,-87.663621
Vines on Clark, 3554 N. Clark St, Chicago, IL 60657 ,41.9468929,-87.6564598
Cubby Bear, 1059 W Addison St, Chicago, IL 60613 ,41.9471089,-87.6566793
Captain Morgan Club, 1060 West Addison Street, Chicago, IL 60613 ,41.947304,-87.656447
Sports Corner Bar & Grill, 956 W. Addison St, Chicago, IL 60613 ,41.9474047,-87.6541216
Dave & Buster's Chicago, 1155 N. Swift Road, Addison, IL 60101 ,41.948471,-88.039464
Casey Morans Chicago, 3660 N Clark St, Chicago, IL 60613 ,41.948771,-87.6579081
Murphy\x92s Bleachers, 3655 North Sheffield Avenue, Chicago, IL 60613 ,41.9489071,-87.65424
Rockit Bar and Grill, 3700 N Clark St, Chicago, IL 60613 ,41.9490838,-87.6580918
The Abbey Pub & Restaurant, 3420 W. Grace Street, Chicago, IL 60618 ,41.9501484,-87.7137611
Ginger's Ale House chicago, 3801 North Ashland Avenue, Chicago, IL 60613 ,41.9506951,-87.6688667
Toon's Bar, 3857 N. Southport Ave, Chicago, IL 60613 ,41.952349,-87.66407
Brownstone Tavern & Grill, 3937 North Lincoln Avenue, Chicago, IL 60613 ,41.9533223,-87.6780128
The Piggery, 1625 West Irving Park Road, Chicago, IL 60613 ,41.9540843,-87.6701228
O'Donovan's, 2100 W. Irving Park, Chicago, IL 60618 ,41.9541356,-87.6812081
Michael's Pizzeria & Tavern, 4091 North Broadway Street, Chicago, IL 60613 ,41.9567463,-87.6519194
Legends Sports Grille, 170 E. Lake St, Bloomingdale, IL 60108 ,41.95719,-88.073511
Wild Goose Bar & Grill, 4265 N. Lincoln Ave, Chicago, IL 60618 ,41.9594742,-87.6823547
Gannon's Pub, 4264 N. Lincoln Ave, Chicago, IL 60618 ,41.9594951,-87.6827373
The Spot Chicago, 4437 North Broadway Street, Chicago, IL 60640 ,41.9627787,-87.6556039
Bad Dog Tavern, 4535 N. Lincoln Ave, Chicago, IL 60625 ,41.964274,-87.685319
Ricochet's Tavern, 4644 N. Lincoln Ave, Chicago, IL 60625 ,41.965979,-87.68719
The Rail Bar & Grill, 4709 N. Damen Ave, Chicago, IL 60625 ,41.9672545,-87.6789974
Crew Bar & Grill, 4804 N. Broadway, Chicago, IL 60640,41.9692505,-87.6598677
Buffalo Wild Wings, 402 Randall Rd, South Elgin, IL 60177 ,41.98672,-88.340824
Real Time Sports Bar, 1120 W. Devon, Elk Grove Village, IL 60007 ,41.9925843,-88.0298389
Pressure Billiards & Cafe, 6318 N. Clark St, Chicago, IL 60660 ,41.9969622,-87.6705754
Shoeless Joe's Ale House, 10290 W. Higgins, Rosemont, IL 60018 ,41.9984876,-87.8849091
The Snuggery, 6733 North Olmsted Avenue, Chicago, IL 60631 ,42.0027262,-87.8178865
Chicago City Limits, 1712 Wise Road, Schaumburg, IL 60193,42.0037819,-88.122489
Play Book, 6913 N. Milwaukee Ave, Niles, IL 60714 ,42.007646,-87.795556
Buffalo Wild Wings, 7020 Carpenter Rd, Skokie, IL 60077 ,42.010046,-87.765107
Bar Louie, 5300 West Touhy Avenue, Skokie, IL 60077 ,42.0120358,-87.7602798
Mullen's Bar & Grill, 7301 North Western Avenue, Chicago, IL 60645 ,42.0142089,-87.6900195
Mullen's Mark II, 7436 N western ave, Chicago, IL 60645 ,42.0170269,-87.6904051
Candlelite Chicago, 7452 North Western Avenue, Chicago, IL 60645,42.0174531,-87.6904006
Paps Ultimate Bar & Grill, 1904 S. Elmhurst Rd, Mount Prospect, IL 60056 ,42.0272082,-87.9405638
Village Inn Pizzeria Sports Bar, 8050 Lincoln Ave, Skokie, IL 60077 ,42.0278316,-87.7546271
Beacon Tap, 1374 Lee St, Des Plaines, IL 60018 ,42.0280542,-87.8946235
Walnut Speak Easy, 214 Walnut Ave, Elgin, IL 60123 ,42.0291016,-88.2835393
Stonewood Ale House, 601 Mall Drive, Schaumburg, IL 60173 ,42.039948,-88.038151
Countryside Saloon, 2501 W. Ballard Rd, Des Plaines, IL 60016 ,42.0431727,-87.8633146
Chasers Sports Bar, 9003 N. Milwaukee Ave, Niles, IL 60714 ,42.04474,-87.829569
Bar Louie, 1520 Sherman Avenue, Evanston, IL 60201,42.0452085,-87.6819229
Wild Bull Sports Bar, 1817 W. Golf Rd, Schaumburg, IL 60194 ,42.0474561,-88.119908
John Barleycorn, 1100 American Lane, Schaumburg, IL 60173 ,42.0475122,-88.0531146
Champps, 955 E. Golf Rd, Schaumburg, IL 60173 ,42.049138,-88.055649
Buffalo Wild Wings, 1741 Maple Ave, Evanston, IL 60201,42.0494214,-87.6847638
Fox and Hound, 1416 N. Roselle Rd, Schaumburg, IL 60195 ,42.0526813,-88.0797812
Club Casa, 353 N. River Rd, Des Plaines, IL 60016 ,42.0573078,-87.8890372
Champps Chicago, 4999 Old Orchard Ctr # N53, Skokie, IL 60077,42.061758,-87.7477105
Jerseys Pizza & Grill, 2360 Lakewood Blvd, Hoffman Estates, IL 60192 ,42.0741508,-88.1408966
Buffalo Wild Wings, 2540 New Sutton Rd, Hoffman Estates, IL 60179,42.0744558,-88.1897723
Rookies All American Pub, 4607 W. Higgins Rd, Hoffman Estates, IL 60192 ,42.0757914,-88.1946321
Buffalo Wild Wings, 301 E. Euclid, Mount Prospect, IL 60056 ,42.0878721,-87.9319743
Rookies All American Pub, 2486 Bushwood Dr, Elgin, IL 60124 ,42.0933765,-88.3368426
Buffalo Wild Wings, 1018 Willow Road, Northbrook, IL 60062 ,42.1055926,-87.8148304
Durty Nellies, 180 N. Smith St, Palatine, IL 60067 ,42.1127812,-88.0485979
Fox and Hound, 910-918 W. Dundee Rd, Arlington Heights, IL 60004 ,42.1390423,-87.9850445
Wool Street Grill & Sports Bar, 128 Wool St, Barrington, IL 60010 ,42.153251,-88.130747
Buffalo Wild Wings, 461 S Randall Rd, Algonquin, IL 60102 ,42.1702439,-88.334542
Champps, 275 Pkwy Dr Ste 311, Lincolnshire, IL 60069 ,42.180202,-87.927699
Flatlander's Restaurant & Brewery, 200 Village Green, Lincolnshire, IL 60069 ,42.2026696,-87.9308952
Cubby Bear Chicago, 21661 North Milwaukee Avenue, Lincolnshire, IL 60069 ,42.203634,-87.932171
Wool Street Grill & Sports Bar, 800 Feinberg Ct, Cary, IL 60013 ,42.217251,-88.253341
Buffalo Wild Wings, 361 W. Town Line Rd, Vernon Hills, IL 60061 ,42.2205971,-87.9695218
Buffalo Wild Wings, 5755 Northwest Highway, Crystal Lake, IL 60014 ,42.2261889,-88.3107722
Blue 60, 330 Townline Rd, Mundelein, IL 60060 ,42.2399159,-87.9987703
Sideouts Bar & Eatery, 4018 Roberts Rd, Island Lake, IL 60042 ,42.271462,-88.197863
Nicolino's Trackside, 621 Ridgeview Dr, McHenry, IL 60050 ,42.3208248,-88.2858833
Buffalo Wild Wings, 3961 Fountain Square Pl, Waukegan, IL 60085 ,42.3429873,-87.895739
Anastasia's Restaurant & Sports Bar, 3880 Northpoint Blvd, Waukegan, IL 60085 ,42.346464,-87.8972749
Timothy O'Tooles, 5572 Illinois 132, Gurnee, IL 60031 ,42.378597,-87.9393195
Buffalo Wild Wings, 500 E. Rollins Rd, Round Lake Beach, IL 60073 ,42.379426,-88.070408
Anastasia's Restaurant & Sports Bar, 438 Lake St, Antioch, IL 60002 ,42.4771917,-88.098884
